"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13011","AUTH TC19 Registration result page should open","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","13133","AUTH TC13 Forgot password page should open","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","13788","TC9 Open Apparel category","chromium","2026-05-27","passed","2026-05-27","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","14719","AUTH TC12 Remember me checkbox should be clickable","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","12573","AUTH TC03 Register with empty form should show validation","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","17072","TC12 Open Gift Cards category","chromium","2026-05-27","passed","2026-05-27","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","19754","AUTH TC05 Register with password mismatch should show error","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","7423","TC04 Search box should be visible","chromium","2026-05-27","passed","2026-05-27","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","16184","AUTH TC04 Register with invalid email should show error","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","62025","AUTH TC20 My account page should open after registration","chromium","2026-05-27","broken","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","5562","AUTH TC06 Register with valid details","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","29559","AUTH TC19 My account link should appear after registration","chromium","2026-05-27","failed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","15242","TC15 Contact us page should open","chromium","2026-05-27","passed","2026-05-27","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","14517","TC14 Open Wishlist page","chromium","2026-05-27","passed","2026-05-27","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","11111","AUTH TC18 Register button should submit form","chromium","2026-05-27","passed","2026-05-27","nopCommerce Authentication Test Cases","authentication.spec.js","",""
