"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","986","PRODUCT TC15 Change sorting option","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","772","PRODUCT TC17 Verify search result product list view is visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1033","FOOTER TC04 Privacy notice page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","16548","AUTH TC07 Login page should open","chromium","2026-06-01","failed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","800","SORT FILTER TC08 Product items should be displayed","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","652","WISHLIST TC07 Wishlist page should not show server error","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","1216","PROFILE TC25 My product reviews page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1081","TC06 Existing review text should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","62994","AUTH TC09 Login with empty fields should show validation","chromium","2026-06-01","broken","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","913","AUTH TC16 Password recovery with invalid email should show validation","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","94424","PROFILE TC01 Login with registered user","chromium","2026-06-01","broken","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","919","TC16 Newsletter subscribe with invalid email","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1366","PRODUCT TC01 Search existing product","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","664","WISHLIST TC01 Open wishlist page","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","909","CONTACT TC03 Email field should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Contact Us Test Cases","ContactUs.spec.js","",""
"","1034","FOOTER TC05 Conditions of use page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","839","PRODUCT TC20 Search URL should contain search keyword","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1141","PROFILE TC21 Back in stock subscriptions page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","903","TC02 Register link should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1099","TC15 Product page should contain review section content","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","16840","PROFILE TC12 Save button should be visible","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","976","AUTH TC15 Password recovery with empty email should show validation","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1068","TC06 Open Computers category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","16780","PROFILE TC07 Email field should be visible","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1073","TC09 Yes helpful link should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","755","WISHLIST TC04 Wishlist count visible in header","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","1024","TC9 Open Apparel category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1379","AUTH TC03 Register with empty form should show validation","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1057","TC13 Open Shopping cart page","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","902","TC04 Search box should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","726","PRODUCT TC19 Search with numeric value","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","16792","PROFILE TC04 Gender female radio should be visible","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","648","WISHLIST TC09 Wishlist URL should be correct","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","1755","SORT FILTER TC04 Sort by Price Low to High should work","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","1124","TC12 Guest user cannot write review message should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1025","PRODUCT TC04 Search product with uppercase letters","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1255","PROFILE TC19 Recurring payments page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1028","TC10 Open Digital downloads category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1071","TC13 Review title field should not be visible for guest user","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1033","AUTH TC17 Register form should accept valid user data","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1116","TC03 Review count link should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1140","TC05 Existing review title should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1109","TC14 Open Wishlist page","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1097","FOOTER TC06 About us page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","1122","TC14 Submit review button should not be visible for guest user","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1045","AUTH TC11 Login email field should accept input","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","891","CONTACT TC04 Enquiry textbox should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Contact Us Test Cases","ContactUs.spec.js","",""
"","1121","TC07 Reviewer name and date should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1184","PROFILE TC22 Reward points page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1118","PROFILE TC02 Open customer info page after login","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","797","SORT FILTER TC07 Product grid should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","1183","TC10 No helpful link should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","94575","PROFILE TC11 Company name should accept input","chromium","2026-06-01","broken","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1122","FOOTER TC03 Shipping & returns page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","982","PRODUCT TC12 Verify product price visible in search result","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1274","CONTACT TC01 Contact Us page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Contact Us Test Cases","ContactUs.spec.js","",""
"","486","WISHLIST TC10 Page title should contain nopCommerce or Wishlist","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","1195","TC04 Existing reviews heading should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","905","TC01 Home page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1190","PROFILE TC23 Change password page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","653","WISHLIST TC06 Wishlist page body visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","1216","TC11 Helpful count should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","94612","PROFILE TC09 First name should accept input","chromium","2026-06-01","broken","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1188","AUTH TC04 Register with invalid email should show error","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","968","AUTH TC18 Register button should submit form","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1204","PROFILE TC17 Orders page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1200","FOOTER TC08 Search link/page should be accessible from footer/header","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","1080","TC05 Search laptop product","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1041","PRODUCT TC13 Verify product image visible in search result","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1250","PROFILE TC10 Last name should accept input","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1104","AUTH TC05 Register with password mismatch should show error","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1060","TC02 Product rating should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1016","PRODUCT TC06 Search product with partial keyword","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1053","FOOTER TC07 Contact us page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","1509","TC01 User should navigate to product page","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","993","PRODUCT TC07 Search apple product","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","16908","PROFILE TC08 Company field should be visible","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1026","TC07 Open Electronics category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","657","WISHLIST TC08 Wishlist page should not show 404","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","1012","AUTH TC08 Login form fields should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","5895","TC11 Open Jewelry category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1088","FOOTER TC09 News page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","1241","SORT FILTER TC01 Books category page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","16769","PROFILE TC18 Orders page should show order filter/date section or empty order message","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1189","AUTH TC02 Register form fields should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1023","PRODUCT TC08 Search book product","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1342","CONTACT TC07 Invalid email should show validation","chromium","2026-06-01","passed","2026-06-01","nopCommerce Contact Us Test Cases","ContactUs.spec.js","",""
"","94395","PROFILE TC13 Save button should be clickable","chromium","2026-06-01","broken","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1023","AUTH TC20 Password field should accept input","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","32584","AUTH TC06 Register with valid details","chromium","2026-06-01","failed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1825","SORT FILTER TC03 Sort by Name A to Z should work","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","984","PRODUCT TC02 Search non-existing product","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1359","AUTH TC01 Register page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1393","PRODUCT TC11 Open first product from search result","chromium","2026-06-01","skipped","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1254","FOOTER TC02 Sitemap page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","1099","AUTH TC19 Registration result page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","730","WISHLIST TC03 Wishlist link visible in header","chromium","2026-06-01","passed","2026-06-01","nopCommerce Wishlist Stable Tests","wishlist.spec.js","",""
"","16383","AUTH TC10 Login with invalid email format","chromium","2026-06-01","failed","2026-06-01","nopCommerce Authentication Test Cases","authentication.spec.js","",""
"","1013","TC15 Contact us page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","16833","PROFILE TC16 Add new address button should be visible","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","16701","PROFILE TC03 Gender section should be visible","chromium","2026-06-01","failed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1063","PRODUCT TC09 Verify search page title","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","1177","PRODUCT TC10 Verify search keyword remains in input","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","801","SORT FILTER TC06 Display 3 products per page should work","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","1273","PROFILE TC15 Address page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1142","SORT FILTER TC02 Sort by dropdown should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
"","1118","TC08 Helpful question should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Reviews Test Cases","productReviews.spec.js","",""
"","1209","PROFILE TC05 First name field should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1287","FOOTER TC10 Blog page should open","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","94814","PROFILE TC14 Save profile information","chromium","2026-06-01","broken","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","1266","FOOTER TC01 Footer should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Footer Information Test Cases","footer-info.spec.js","",""
"","1069","CONTACT TC05 Submit button should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Contact Us Test Cases","ContactUs.spec.js","",""
"","1021","TC08 Open Books category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","1065","PROFILE TC06 Last name field should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce User Profile Test Cases","user-profile.spec.js","",""
"","6018","TC12 Open Gift Cards category","chromium","2026-06-01","passed","2026-06-01","nopCommerce Basic Test Cases","napCommerce.spec.js","",""
"","992","PRODUCT TC16 Change display per page option","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","758","PRODUCT TC18 Search with special characters","chromium","2026-06-01","passed","2026-06-01","nopCommerce Product Search Test Cases","productSearch.spec.js","",""
"","861","SORT FILTER TC05 Display per page dropdown should be visible","chromium","2026-06-01","passed","2026-06-01","nopCommerce Sorting and Filtering Test Cases","sortingFiltering.spec.js","",""
